expression	image	group	R	V	B	CP	L
stand at attention	V-B-CP-L	1	4.00	6.08	5.00	3.08	2.08
stand out in several sports	CP-V-L-B-R	1	2.13	3.54	2.83	5.04	3.42
to stand firm	R-B-V-CP-L	2	6.21	4.13	5.04	3.75	2.83
don't stand for such treatment	R-CP-L-B-V	1	5.54	2.21	3.04	3.13	3.08
to stand the test of time	R-L-B-CP-B-V	1	4.88	2.38	3.92	3.00	4.08
united we stand	L-R-CP-B-V	2	4.79	4.21	4.25	4.78	6.33
we stand on 30 years of experience	L-CP-B-V-R	2	2.46	2.63	2.92	3.43	4.58
let the issue stand	CP-L-R-B-V	1	2.83	1.92	2.08	3.04	2.96
let the mixture stand	B-V-L-CP-R	1	1.54	2.08	3.17	1.88	2.00
get stood up for a date	V-B-CP-L-R	3	1.83	3.17	3.04	2.29	2.17
he stands six-foot nine	V-B-R-L-CP	3	2.29	6.50	3.54	1.96	2.00
the clock stands on the mantle	B-V-L-CP-R	2	2.00	4.38	4.46	2.31	2.42
one-night stand	L-CP-R-V-B	1	1.63	1.46	1.29	2.17	3.04
to stand to profit	L-R-B-V-CP	2	2.04	1.75	1.79	1.74	3.54
to stand in someone else's shoes	L-CP-V-B-R	2	2.25	3.58	2.96	4.13	4.70
on the witness stand	CP-L-V-R-B	1	1.83	2.08	1.50	3.63	2.96
stand in awe	V-CP-L-R-B	2	2.33	3.75	3.29	3.65	3.50
the police told them to stand back	R-CP-V-L-B	1	3.63	3.42	2.17	3.46	2.74
stand by your man	L-V-CP-R-B	3	3.00	3.79	2.79	3.46	4.74
the engine can't stand the constant wear	R-L-B-CP-V	3	4.88	1.33	1.83	1.58	3.50
stand on shaky ground	B-R-V-L-CP	2	4.63	3.92	6.04	2.71	3.29
to stand accused	CP-L-R-V-B	3	3.50	2.29	2.00	3.63	3.54
the house stands in the clearing	V-CP-B-L-R	3	1.83	4.63	3.50	4.08	3.17
the barometer stands at 30 inches	V-B-L-R-CP	3	1.83	4.71	3.38	1.46	3.13
as the matter now stands	L-B-CP-R-V	3	2.42	1.88	2.90	2.63	3.25
the part stands for the whole	L-CP-R-B-V	3	2.29	1.83	1.96	3.87	2.42
it stands to reason	L-B-CP-R-V	3	2.25	1.96	2.63	2.42	3.63
they did nothing but stand around	V-B-L-CP-R	3	1.92	4.71	3.54	2.13	2.21
to stand against great odds	R-CP-L-B-V	3	6.46	3.08	4.13	5.13	4.25
a standing ovation	V-CP-L-B-R	1	1.96	5.00	3.17	3.50	3.50
the boss always stands over me	V-CP-L-R-B	1	3.58	4.71	2.75	4.04	3.75
he stands committed	R-V-B-L-CP	1	4.12	3.66	3.55	3.12	3.29
